"date","shift","captured_at","predicted_stores","actual_stores","maid","predicted_store","actual_store","verdict"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","みりあ","s1","s4","miss"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","きらり","s3","s1","miss"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","すくい","s3","s1","miss"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","えみ","s1","s1","hit"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","ちゆ","s1","s4","miss"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","あらた","s3","s1","miss"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","けだま","s1","s4","miss"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","ひじり","","s1","unlisted"
"2026-09-01","昼","2026-09-02T14:25:31.324Z","s1|s3","s1|s4","みおり","","s1","unlisted"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","あむ","s1","s1","hit"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","みりあ","s4","s1","miss"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","える","s1","s1","hit"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","あくび","s1","s1","hit"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","こえび","s4","s1","miss"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","もなか","s1","s1","hit"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","まこと","","s1","unassigned"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","あらた","s1","s1","hit"
"2026-09-01","夜","2026-09-02T14:25:31.324Z","s1|s4","s1","ろぜった","","s1","unlisted"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","ひかり","s1","s1","hit"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","ちさと","s1","s2","miss"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","ねむり","s4","s4","hit"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","あめる","s1","s4","miss"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","しゃち","s2","s1","miss"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","かなた","s2","s2","hit"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","るるか","s4","","absent"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","あらた","s2","s1","miss"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","けだま","s1","s2","miss"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","いと","","s2","unlisted"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","ろぜった","","s2","unlisted"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","えみ","","s1","unlisted"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","らん","","s1","unlisted"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","わたげ","","s4","unlisted"
"2026-09-02","昼","2026-09-02T14:25:31.324Z","s1|s2|s4","s1|s2|s4","まこと","","s4","unlisted"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","ひかり","s1","s4","miss"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","あめる","s1","","absent"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","うな","s1","s1","hit"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","こえび","s4","s4","hit"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","ぴあの","s4","s1","miss"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","いと","","s1","unlisted"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","みらい","","s4","unlisted"
"2026-09-02","夜","2026-09-02T14:25:31.324Z","s1|s4","s1|s4","みりん","","s4","unlisted"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","しゃち","s1","s1","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","もなか","s1","s1","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","こん","s1","s3","miss"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","ちゆ","s1","s1","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","ちぇる","s1","","absent"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","あむ","s3","s3","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","こい","s3","s3","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","ひなり","s3","s2","miss"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","ちま","s3","s3","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","みりあ","s4","s4","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","ねむり","s4","s4","hit"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","るるか","s4","s2","miss"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","ちょこ","s4","s2","miss"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","えみ","","s1","unlisted"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","あるか","","s2","unlisted"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","みりん","","s2","unlisted"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","あらた","","s3","unlisted"
"2026-09-03","昼","2026-09-03T14:48:00.641700Z","s1|s3","s1|s2|s3|s4","まこっちゃん","","s4","unlisted"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","ひかり","s1","s2","miss"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","みりあ","s1","s4","miss"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","もなか","s1","s1","hit"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","つぼみ","s1","s1","hit"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","あむ","s3","s1","miss"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","ひなり","s3","s1","miss"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","みえる","s3","","absent"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","ららこ","s3","s2","miss"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","あらた","","s1","unlisted"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","らん","","s1","unlisted"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","うる","","s2","unlisted"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","ちぇる","","s2","unlisted"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","もち","","s2","unlisted"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","のあ","","s4","unlisted"
"2026-09-03","夜","2026-09-03T14:48:00.641700Z","s1","s1|s2|s4","みりん","","s4","unlisted"
